Characters,Numbers
Mundargi,30
Toranagallu,61
Marmammanahau,18
Gunda Road,32
Kudatk,32
Tambarahalli,178
Tadas,70
Lakshmeshwar,23
Hampapatnam,170
Banniop,120
Hagari Bommanahalli,424
Sandur,174
Chilakanahatti,186
Narasingipur,178
Belhat,109
Moragbri,130
Yeshvantanagara,211
Shiggaon,210
Huwvinahadagalli,348
Dandinahirehe,170
Yalvqi,98
Malm,88
Bandr,95
Savanur,200
Svamhaui,138
Bankapur,134
Yarada,116
Hirehadagalli,179
Mttigi,76
Kudligi,169
Rampura,125
Qutal,99
Holalu,105
Chiqaten,126
Kotturu,114
Haveri,156
Harpanahalli,247
Hagal,228
Adur,84
Muralhalu,144
Motbennur,151
Ulhm,88
Molakalmuru,289
Devargudl,140
Hosur,95
Byadgl,165
Arsrere,117
Hosahall,134
Ranibennur,166
Telaci,96
Ranbennur,251
Bird 5 Sanctuary,227
Chalce,126
Uchchangidurga,200
Bo,46
Agonda,114
Haunsbhayi,147
Ist,56
Kod,66
Anayatt,123
Chekerur,130
Halageri,122
Harihar,179
Jagalur,186
Biuchodu,125
Talaku,101
Hirekerur,208
Dayangere,251
Mayakanah,139
Hadadi,105
Anagoou,132
Turuvanur,145
Sorab,143
Masur,99
Bharmasaqaral,189
Srilkoppa,134
Kodaganur,145
